iter	Logloss
0	0.6873381241
1	0.6820752061
2	0.6762703497
3	0.671274739
4	0.6666737351
5	0.6617499323
6	0.656497606
7	0.6531590085
8	0.6478122204
9	0.6427997659
10	0.6385261829
11	0.6349019888
12	0.6307966529
13	0.6260652188
14	0.6215354835
15	0.617905289
16	0.6140014157
17	0.610832322
18	0.6076338871
19	0.6044346115
20	0.6008394515
21	0.5970215951
22	0.5935387987
23	0.5904735045
24	0.5883647425
25	0.5846908661
26	0.581134755
27	0.5779788048
28	0.5746537174
29	0.5715213394
30	0.569321246
31	0.5660296886
32	0.5629298462
33	0.5599017076
34	0.5572924727
35	0.5541757895
36	0.5516465856
37	0.5488851104
38	0.5466443927
39	0.5452144959
40	0.5432804991
41	0.5404827373
42	0.5382538572
43	0.5358216793
44	0.533382641
45	0.5316027527
46	0.529026497
47	0.5270883977
48	0.5254246236
49	0.5229499926
50	0.5210104135
51	0.518462201
52	0.5163518854
53	0.5143023111
54	0.5121551084
55	0.5102188834
56	0.5084833968
57	0.5069353119
58	0.5046021207
59	0.5029288941
60	0.5015472642
61	0.4996727962
62	0.4980951817
63	0.4972514103
64	0.4964238899
65	0.4946820061
66	0.4929861795
67	0.4912626207
68	0.489452329
69	0.4880493222
70	0.4872559744
71	0.4860988902
72	0.4851552456
73	0.4835089778
74	0.482048384
75	0.4809840255
76	0.4802912528
77	0.4791903428
78	0.4778728587
79	0.4772719389
80	0.4758031327
81	0.4744319317
82	0.4729405174
83	0.4715125295
84	0.4700408201
85	0.4689469525
86	0.4673030116
87	0.4660608031
88	0.4647715306
89	0.4637199361
90	0.4628096714
91	0.4615854193
92	0.4603546646
93	0.4591310513
94	0.4578314938
95	0.4567260505
96	0.4556453562
97	0.4551966909
98	0.4547985194
99	0.4542211308
100	0.4536628778
101	0.4528421121
102	0.4524746622
103	0.4515426228
104	0.4504435519
105	0.4500985083
106	0.4496603324
107	0.4491568832
108	0.4483951582
109	0.4480677932
110	0.4470702976
111	0.4460681786
112	0.4451785838
113	0.444756832
114	0.4441642019
115	0.4434819531
116	0.4428237156
117	0.4421120371
118	0.4411920357
119	0.4408438518
120	0.4403460964
121	0.4398784384
122	0.4389623667
123	0.4380963378
124	0.4373297968
125	0.4365950841
126	0.4358699496
127	0.4351006498
128	0.434322149
129	0.4336303537
130	0.432909266
131	0.4324927831
132	0.4317371893
133	0.4309397332
134	0.4301645449
135	0.4294979801
136	0.4287499622
137	0.4281057929
138	0.4274544718
139	0.4271246272
140	0.4263688834
141	0.4258267445
142	0.425142052
143	0.4245595133
144	0.4237876453
145	0.4235133238
146	0.4230611289
147	0.4224985598
148	0.4219741869
149	0.4213411633
150	0.4211860832
151	0.4205220291
152	0.4198150805
153	0.4193583176
154	0.4189587509
155	0.4183946142
156	0.4180689062
157	0.4175110515
158	0.4168801522
159	0.4163779271
160	0.4160952765
161	0.415614916
162	0.4152062028
163	0.4147011389
164	0.4141008452
165	0.4137214729
166	0.4132756771
167	0.4129265019
168	0.4125875679
169	0.4121147377
170	0.4117304885
171	0.4113141517
172	0.4108651025
173	0.4106105524
174	0.4105247071
175	0.4098702439
176	0.4092872899
177	0.4091224977
178	0.40895883
179	0.4088343929
180	0.4084620474
181	0.4081070248
182	0.4078141579
183	0.4074384484
184	0.406986504
185	0.4066203971
186	0.4061254268
187	0.4057470967
188	0.4054282099
189	0.4051062263
190	0.4047073145
191	0.4043265114
192	0.4040472281
193	0.4039456588
194	0.4035039765
195	0.4031737298
196	0.4026377404
197	0.4023554808
198	0.4018894321
199	0.4014428324
200	0.4011074108
201	0.4006410777
202	0.4004622176
203	0.4002534158
204	0.4000506346
205	0.4000199326
206	0.399848123
207	0.3996867014
208	0.3994726266
209	0.3990742729
210	0.398684045
211	0.3984107292
212	0.3981007437
213	0.3979374225
214	0.3975128044
215	0.3974476111
216	0.3971982199
217	0.3971299294
218	0.3966701951
219	0.3961929971
220	0.39609065
221	0.3958059228
222	0.395746812
223	0.3954120458
224	0.3950957027
225	0.3949681452
226	0.3946706281
227	0.394513917
228	0.3942619385
229	0.3938714905
230	0.3934339017
231	0.3930868609
232	0.392985306
233	0.3927329332
234	0.3924720487
235	0.3922840539
236	0.3920481895
237	0.3918856906
238	0.391623837
239	0.3913133655
240	0.3909893772
241	0.3909074506
242	0.3907002114
243	0.3905448061
244	0.3901530804
245	0.3898437111
246	0.3897975017
247	0.389540901
248	0.3893313591
249	0.3891554249
250	0.3889008394
251	0.3886674567
252	0.3885412448
253	0.3883747052
254	0.3881003351
255	0.3878351088
256	0.3875602607
257	0.3873761373
258	0.3871632532
259	0.3871306956
260	0.3870016518
261	0.3867880218
262	0.38651332
263	0.3864280623
264	0.3863212606
265	0.385969147
266	0.3856775508
267	0.3855288264
268	0.3853850327
269	0.3850852346
270	0.3848123442
271	0.3846176396
272	0.3842630094
273	0.384024615
274	0.3838502721
275	0.3835048903
276	0.383198173
277	0.3829370278
278	0.382831166
279	0.3825696381
280	0.3823794453
281	0.3821839927
282	0.3819632783
283	0.3817923112
284	0.3815778806
285	0.3815336302
286	0.3813088102
287	0.3811893813
288	0.3810180934
289	0.3807626574
290	0.3805585445
291	0.3803101355
292	0.3800486776
293	0.3798497676
294	0.379532033
295	0.3793638262
296	0.3792515797
297	0.3790536075
298	0.3788879355
299	0.3787283353
300	0.3786506409
301	0.3785396659
302	0.3782635416
303	0.3781234409
304	0.377817865
305	0.3776707175
306	0.3774303102
307	0.3772170492
308	0.3769283742
309	0.3768302193
310	0.3766271001
311	0.376510376
312	0.3763573097
313	0.376177002
314	0.3759014937
315	0.3757917336
316	0.3757139732
317	0.3754813933
318	0.375297237
319	0.3751343545
320	0.3749606993
321	0.3747487106
322	0.3745250793
323	0.374239019
324	0.3739857053
325	0.373862371
326	0.3738422505
327	0.3737583295
328	0.3735731305
329	0.3734932741
330	0.3733228838
331	0.3732275631
332	0.373058379
333	0.3729338596
334	0.3727531964
335	0.372529382
336	0.3722879747
337	0.3721385458
338	0.3719500381
339	0.3717922884
340	0.3717324364
341	0.3715320516
342	0.3713434626
343	0.3713288359
344	0.3710825702
345	0.3709613664
346	0.3707069259
347	0.3705282916
348	0.370360738
349	0.3701247003
350	0.36995551
351	0.3698764727
352	0.3697316498
353	0.3695065061
354	0.3691981687
355	0.369109648
356	0.3689247117
357	0.3687764162
358	0.3686621864
359	0.3686506942
360	0.368598883
361	0.3684478148
362	0.3680586149
363	0.367889919
