iter	Passed	Remaining
0	0	381
1	0	382
2	1	385
3	1	391
4	1	366
5	2	370
6	2	382
7	3	381
8	3	384
9	3	384
10	4	398
11	4	396
12	5	391
13	5	405
14	6	412
15	6	406
16	7	410
17	7	409
18	7	405
19	8	414
20	8	419
21	9	416
22	9	414
23	10	412
24	10	405
25	10	403
26	11	402
27	11	402
28	11	400
29	12	400
30	12	399
31	13	400
32	13	400
33	14	399
34	14	399
35	14	400
36	15	397
37	15	402
38	16	398
39	16	397
40	16	395
41	17	396
42	17	393
43	18	393
44	18	393
45	18	393
46	19	393
47	19	390
48	19	387
49	20	387
50	20	387
51	21	386
52	21	386
53	22	385
54	22	385
55	22	384
56	23	383
57	23	380
58	23	380
59	24	380
60	24	380
61	25	380
62	25	381
63	26	380
64	26	377
65	26	377
66	27	378
67	27	381
68	28	383
69	28	383
70	29	380
71	29	378
72	29	376
73	30	376
74	30	376
75	30	373
76	30	371
77	31	370
78	31	368
79	31	366
80	32	365
81	32	365
82	33	365
83	33	365
84	33	365
85	34	365
86	34	365
87	35	365
88	35	365
89	36	365
90	36	366
91	37	366
92	37	366
93	37	366
94	38	366
95	38	365
96	39	365
97	39	365
98	39	363
99	40	361
100	40	362
101	41	362
102	41	360
103	41	359
104	42	362
105	42	360
106	43	359
107	43	357
108	43	357
109	44	357
110	45	361
111	45	362
112	46	362
113	46	361
114	46	359
115	47	359
116	47	358
117	47	358
118	48	358
119	48	356
120	49	356
121	49	355
122	49	355
123	50	355
124	50	354
125	51	354
126	51	354
127	51	353
128	52	353
129	52	353
130	53	352
131	53	351
132	53	351
133	54	351
134	54	350
135	55	350
136	55	350
137	56	349
138	56	349
139	56	348
140	57	347
141	57	347
142	57	347
143	58	347
144	58	347
145	59	346
146	59	346
147	60	346
148	60	345
149	60	345
150	61	344
151	61	343
152	62	343
153	62	343
154	62	342
155	63	342
156	63	342
157	64	341
158	64	341
159	64	341
160	65	340
161	65	339
162	66	339
163	66	339
164	66	338
165	67	338
166	67	338
167	68	338
168	68	337
169	69	336
170	69	336
171	69	336
172	70	335
173	70	335
174	70	334
175	71	334
176	72	335
177	72	335
178	72	334
179	73	333
180	73	333
181	74	333
182	74	333
183	75	332
184	75	332
185	75	332
186	76	331
187	76	331
188	77	330
189	77	330
190	77	330
191	78	329
192	78	329
193	79	328
194	79	328
195	80	328
196	80	328
197	80	328
198	81	327
199	81	327
200	82	326
201	82	326
202	83	326
203	83	325
204	83	324
205	84	323
206	84	323
207	84	322
208	85	322
209	85	322
210	86	321
211	86	321
212	86	321
213	87	321
214	87	320
215	88	320
216	88	321
217	89	320
218	89	319
219	90	320
220	90	319
221	91	319
222	91	318
223	91	317
224	92	317
225	92	316
226	92	316
227	93	315
228	93	315
229	94	315
230	94	314
231	95	314
232	95	313
233	95	313
234	96	314
235	96	313
236	97	313
237	97	312
238	98	312
239	98	312
240	98	311
241	99	310
242	99	310
243	100	310
244	100	309
245	100	309
246	101	308
247	101	308
248	102	308
249	102	307
250	103	307
251	103	307
252	103	306
253	104	306
254	104	305
255	105	305
256	105	305
257	105	304
258	106	304
259	106	304
260	107	303
261	107	303
262	108	302
263	108	302
264	108	301
265	109	301
266	109	301
267	110	301
268	110	300
269	111	300
270	111	299
271	111	299
272	112	299
273	112	298
274	113	298
275	113	297
276	114	297
277	114	297
278	114	296
279	115	296
280	115	295
281	115	295
282	116	294
283	116	294
284	117	294
285	117	293
286	118	293
287	118	293
288	119	293
289	119	292
290	120	292
291	120	292
292	121	292
293	121	291
294	121	291
295	122	290
296	122	290
297	123	290
298	123	289
299	123	289
